V (V),Q vs QB (V),V (V),QB vs Q (V)
510.0E-3,527.1E-3,527.1E-3,510.0E-3
512.0E-3,490.3E-3,490.3E-3,512.0E-3
514.0E-3,454.7E-3,454.7E-3,514.0E-3
516.0E-3,420.4E-3,420.4E-3,516.0E-3
518.0E-3,387.4E-3,387.4E-3,518.0E-3
520.0E-3,355.8E-3,355.8E-3,520.0E-3
522.0E-3,325.6E-3,325.6E-3,522.0E-3
524.0E-3,296.7E-3,296.7E-3,524.0E-3
526.0E-3,269.2E-3,269.2E-3,526.0E-3
528.0E-3,243.0E-3,243.0E-3,528.0E-3
530.0E-3,218.0E-3,218.0E-3,530.0E-3
532.0E-3,194.2E-3,194.2E-3,532.0E-3
534.0E-3,171.6E-3,171.6E-3,534.0E-3
536.0E-3,150.0E-3,150.0E-3,536.0E-3
538.0E-3,129.6E-3,129.6E-3,538.0E-3
540.0E-3,110.6E-3,110.6E-3,540.0E-3
542.0E-3,93.14E-3,93.14E-3,542.0E-3
544.0E-3,77.39E-3,77.39E-3,544.0E-3
546.0E-3,64.45E-3,64.45E-3,546.0E-3
548.0E-3,55.03E-3,55.03E-3,548.0E-3
550.0E-3,48.02E-3,48.02E-3,550.0E-3
552.0E-3,42.55E-3,42.55E-3,552.0E-3
554.0E-3,38.10E-3,38.10E-3,554.0E-3
556.0E-3,34.36E-3,34.36E-3,556.0E-3
558.0E-3,31.14E-3,31.14E-3,558.0E-3
560.0E-3,28.28E-3,28.28E-3,560.0E-3
562.0E-3,25.63E-3,25.63E-3,562.0E-3
564.0E-3,519.1E-9,519.1E-9,564.0E-3
566.0E-3,506.4E-9,506.4E-9,566.0E-3
568.0E-3,494.0E-9,494.0E-9,568.0E-3
570.0E-3,482.0E-9,482.0E-9,570.0E-3
572.0E-3,470.4E-9,470.4E-9,572.0E-3
574.0E-3,459.2E-9,459.2E-9,574.0E-3
576.0E-3,448.2E-9,448.2E-9,576.0E-3
578.0E-3,437.7E-9,437.7E-9,578.0E-3
580.0E-3,427.4E-9,427.4E-9,580.0E-3
582.0E-3,417.4E-9,417.4E-9,582.0E-3
584.0E-3,407.8E-9,407.8E-9,584.0E-3
586.0E-3,398.4E-9,398.4E-9,586.0E-3
588.0E-3,389.3E-9,389.3E-9,588.0E-3
590.0E-3,380.5E-9,380.5E-9,590.0E-3
592.0E-3,371.9E-9,371.9E-9,592.0E-3
594.0E-3,363.6E-9,363.6E-9,594.0E-3
596.0E-3,355.5E-9,355.5E-9,596.0E-3
598.0E-3,347.7E-9,347.7E-9,598.0E-3
600.0E-3,340.1E-9,340.1E-9,600.0E-3
602.0E-3,332.7E-9,332.7E-9,602.0E-3
604.0E-3,325.5E-9,325.5E-9,604.0E-3
606.0E-3,318.5E-9,318.5E-9,606.0E-3
608.0E-3,311.8E-9,311.8E-9,608.0E-3
610.0E-3,305.2E-9,305.2E-9,610.0E-3
612.0E-3,298.8E-9,298.8E-9,612.0E-3
614.0E-3,292.6E-9,292.6E-9,614.0E-3
