corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.6e-07,1.6e-07,1.2e-07,125,1.15,3.09023e-10
tt,1.6e-07,1.6e-07,1.2e-07,125,1.2,3.22458e-10
tt,1.6e-07,2e-07,1.2e-07,-40,1,5.60759e-11
tt,1.6e-07,2e-07,1.2e-07,-40,1.05,5.88797e-11
tt,1.6e-07,2e-07,1.2e-07,-40,1.1,6.16835e-11
tt,1.6e-07,2e-07,1.2e-07,-40,1.15,6.44873e-11
tt,1.6e-07,2e-07,1.2e-07,-40,1.2,6.72911e-11
tt,1.6e-07,2e-07,1.2e-07,0,1,5.91146e-11
tt,1.6e-07,2e-07,1.2e-07,0,1.05,6.20703e-11
tt,1.6e-07,2e-07,1.2e-07,0,1.1,6.50261e-11
tt,1.6e-07,2e-07,1.2e-07,0,1.15,6.79818e-11
tt,1.6e-07,2e-07,1.2e-07,0,1.2,7.09375e-11
tt,1.6e-07,2e-07,1.2e-07,27,1,6.64758e-11
tt,1.6e-07,2e-07,1.2e-07,27,1.05,6.97995e-11
tt,1.6e-07,2e-07,1.2e-07,27,1.1,7.31233e-11
tt,1.6e-07,2e-07,1.2e-07,27,1.15,7.64471e-11
tt,1.6e-07,2e-07,1.2e-07,27,1.2,7.97709e-11
tt,1.6e-07,2e-07,1.2e-07,85,1,1.33316e-10
tt,1.6e-07,2e-07,1.2e-07,85,1.05,1.39982e-10
tt,1.6e-07,2e-07,1.2e-07,85,1.1,1.46648e-10
tt,1.6e-07,2e-07,1.2e-07,85,1.15,1.53314e-10
tt,1.6e-07,2e-07,1.2e-07,85,1.2,1.5998e-10
tt,1.6e-07,2e-07,1.2e-07,125,1,2.79633e-10
tt,1.6e-07,2e-07,1.2e-07,125,1.05,2.93615e-10
tt,1.6e-07,2e-07,1.2e-07,125,1.1,3.07596e-10
tt,1.6e-07,2e-07,1.2e-07,125,1.15,3.21578e-10
tt,1.6e-07,2e-07,1.2e-07,125,1.2,3.3556e-10
tt,1.6e-07,2.4e-07,1.2e-07,-40,1,6.21627e-11
tt,1.6e-07,2.4e-07,1.2e-07,-40,1.05,6.52708e-11
tt,1.6e-07,2.4e-07,1.2e-07,-40,1.1,6.8379e-11
tt,1.6e-07,2.4e-07,1.2e-07,-40,1.15,7.14871e-11
tt,1.6e-07,2.4e-07,1.2e-07,-40,1.2,7.45952e-11
tt,1.6e-07,2.4e-07,1.2e-07,0,1,6.52718e-11
tt,1.6e-07,2.4e-07,1.2e-07,0,1.05,6.85354e-11
tt,1.6e-07,2.4e-07,1.2e-07,0,1.1,7.1799e-11
tt,1.6e-07,2.4e-07,1.2e-07,0,1.15,7.50626e-11
tt,1.6e-07,2.4e-07,1.2e-07,0,1.2,7.83262e-11
tt,1.6e-07,2.4e-07,1.2e-07,27,1,7.27811e-11
tt,1.6e-07,2.4e-07,1.2e-07,27,1.05,7.64201e-11
tt,1.6e-07,2.4e-07,1.2e-07,27,1.1,8.00592e-11
tt,1.6e-07,2.4e-07,1.2e-07,27,1.15,8.36982e-11
tt,1.6e-07,2.4e-07,1.2e-07,27,1.2,8.73373e-11
tt,1.6e-07,2.4e-07,1.2e-07,85,1,1.41332e-10
tt,1.6e-07,2.4e-07,1.2e-07,85,1.05,1.48399e-10
tt,1.6e-07,2.4e-07,1.2e-07,85,1.1,1.55465e-10
tt,1.6e-07,2.4e-07,1.2e-07,85,1.15,1.62532e-10
tt,1.6e-07,2.4e-07,1.2e-07,85,1.2,1.69598e-10
tt,1.6e-07,2.4e-07,1.2e-07,125,1,2.92302e-10
tt,1.6e-07,2.4e-07,1.2e-07,125,1.05,3.06917e-10
tt,1.6e-07,2.4e-07,1.2e-07,125,1.1,3.21532e-10
tt,1.6e-07,2.4e-07,1.2e-07,125,1.15,3.36147e-10
tt,1.6e-07,2.4e-07,1.2e-07,125,1.2,3.50762e-10
tt,1.6e-07,2.8e-07,1.2e-07,-40,1,6.82477e-11
tt,1.6e-07,2.8e-07,1.2e-07,-40,1.05,7.16601e-11
tt,1.6e-07,2.8e-07,1.2e-07,-40,1.1,7.50725e-11
tt,1.6e-07,2.8e-07,1.2e-07,-40,1.15,7.84849e-11
tt,1.6e-07,2.8e-07,1.2e-07,-40,1.2,8.18973e-11
