/A X,/A Y
-0.3169999999999998,1.099999908161981
-0.3159999999999998,1.099999908032091
-0.3149999999999998,1.099999907901613
-0.3139999999999998,1.099999907770543
-0.3129999999999998,1.09999990763888
-0.3119999999999998,1.099999907506622
-0.3109999999999998,1.099999907373766
-0.3099999999999998,1.09999990724031
-0.3089999999999998,1.099999907106252
-0.3079999999999998,1.09999990697159
-0.3069999999999998,1.099999906836321
-0.3059999999999998,1.099999906700443
-0.3049999999999998,1.099999906563955
-0.3039999999999998,1.099999906426852
-0.3029999999999998,1.099999906289135
-0.3019999999999998,1.099999906150799
-0.3009999999999998,1.099999906011843
-0.2999999999999998,1.099999905872266
-0.2989999999999998,1.099999905732063
-0.2979999999999998,1.099999905591233
-0.2969999999999998,1.099999905449774
-0.2959999999999998,1.099999905307683
-0.2949999999999998,1.099999905164958
-0.2939999999999998,1.099999905021598
-0.2929999999999998,1.099999904877598
-0.2919999999999998,1.099999904732958
-0.2909999999999998,1.099999904587674
-0.2899999999999998,1.099999904441745
-0.2889999999999998,1.099999904295168
-0.2879999999999998,1.099999904147941
-0.2869999999999998,1.099999904000061
-0.2859999999999998,1.099999903851526
-0.2849999999999998,1.099999903702333
-0.2839999999999998,1.099999903552481
-0.2829999999999998,1.099999903401967
-0.2819999999999998,1.099999903250787
-0.2809999999999998,1.099999903098941
-0.2799999999999998,1.099999902946426
-0.2789999999999998,1.099999902793238
-0.2779999999999998,1.099999902639377
-0.2769999999999998,1.099999902484838
-0.2759999999999998,1.099999902329621
-0.2749999999999998,1.099999902173721
-0.2739999999999998,1.099999902017138
-0.2729999999999998,1.099999901859868
-0.2719999999999998,1.099999901701909
-0.2709999999999998,1.099999901543258
-0.2699999999999998,1.099999901383914
-0.2689999999999998,1.099999901223873
-0.2679999999999998,1.099999901063133
-0.2669999999999998,1.099999900901691
-0.2659999999999998,1.099999900739545
-0.2649999999999998,1.099999900576693
-0.2639999999999998,1.099999900413131
-0.2629999999999998,1.099999900248858
-0.2619999999999998,1.099999900083871
-0.2609999999999998,1.099999899918167
-0.2599999999999998,1.099999899751743
-0.2589999999999998,1.099999899584598
-0.2579999999999998,1.099999899416728
-0.2569999999999998,1.099999899248131
-0.2559999999999998,1.099999899078804
-0.2549999999999998,1.099999898908745
-0.2539999999999998,1.09999989873795
-0.2529999999999998,1.099999898566419
-0.2519999999999998,1.099999898394147
-0.2509999999999998,1.099999898221132
-0.2499999999999998,1.099999898047372
-0.2489999999999998,1.099999897872863
-0.2479999999999998,1.099999897697604
-0.2469999999999998,1.099999897521591
-0.2459999999999998,1.099999897344822
-0.2449999999999998,1.099999897167294
-0.2439999999999998,1.099999896989005
-0.2429999999999998,1.099999896809951
-0.2419999999999998,1.09999989663013
-0.2409999999999998,1.099999896449539
-0.2399999999999998,1.099999896268176
-0.2389999999999998,1.099999896086038
-0.2379999999999998,1.099999895903121
-0.2369999999999998,1.099999895719424
-0.2359999999999998,1.099999895534943
-0.2349999999999998,1.099999895349676
-0.2339999999999998,1.09999989516362
-0.2329999999999998,1.099999894976772
-0.2319999999999998,1.099999894789129
-0.2309999999999998,1.099999894600689
-0.2299999999999998,1.099999894411448
-0.2289999999999998,1.099999894221405
-0.2279999999999998,1.099999894030555
-0.2269999999999998,1.099999893838896
-0.2259999999999998,1.099999893646425
-0.2249999999999998,1.09999989345314
-0.2239999999999998,1.099999893259037
-0.2229999999999998,1.099999893064114
-0.2219999999999998,1.099999892868368
-0.2209999999999998,1.099999892671795
-0.2199999999999998,1.099999892474393
-0.2189999999999998,1.099999892276159
-0.2179999999999997,1.09999989207709
-0.2169999999999997,1.099999891877184
-0.2159999999999997,1.099999891676436
-0.2149999999999997,1.099999891474844
-0.2139999999999997,1.099999891272405
-0.2129999999999997,1.099999891069117
-0.2119999999999997,1.099999890864976
-0.2109999999999997,1.099999890659979
-0.2099999999999997,1.099999890454123
-0.2089999999999997,1.099999890247405
-0.2079999999999997,1.099999890039822
-0.2069999999999997,1.099999889831371
-0.2059999999999997,1.099999889622049
-0.2049999999999997,1.099999889411853
-0.2039999999999997,1.09999988920078
-0.2029999999999997,1.099999888988826
-0.2019999999999997,1.099999888775989
-0.2009999999999997,1.099999888562266
-0.1999999999999997,1.099999888347653
-0.1989999999999997,1.099999888132148
-0.1979999999999997,1.099999887915746
-0.1969999999999997,1.099999887698445
-0.1959999999999997,1.099999887480243
-0.1949999999999997,1.099999887261135
-0.1939999999999997,1.099999887041118
-0.1929999999999997,1.09999988682019
-0.1919999999999997,1.099999886598347
-0.1909999999999997,1.099999886375586
-0.1899999999999997,1.099999886151903
-0.1889999999999997,1.099999885927296
-0.1879999999999997,1.099999885701761
-0.1869999999999997,1.099999885475295
-0.1859999999999997,1.099999885247894
-0.1849999999999997,1.099999885019556
-0.1839999999999997,1.099999884790277
-0.1829999999999997,1.099999884560054
-0.1819999999999997,1.099999884328884
-0.1809999999999997,1.099999884096762
-0.1799999999999997,1.099999883863687
-0.1789999999999997,1.099999883629654
-0.1779999999999997,1.09999988339466
-0.1769999999999997,1.099999883158702
-0.1759999999999997,1.099999882921776
-0.1749999999999997,1.09999988268388
-0.1739999999999997,1.099999882445009
-0.1729999999999997,1.09999988220516
-0.1719999999999997,1.09999988196433
-0.1709999999999997,1.099999881722516
-0.1699999999999997,1.099999881479714
-0.1689999999999997,1.09999988123592
-0.1679999999999997,1.099999880991131
-0.1669999999999997,1.099999880745343
-0.1659999999999997,1.099999880498554
-0.1649999999999997,1.09999988025076
-0.1639999999999997,1.099999880001956
-0.1629999999999997,1.09999987975214
-0.1619999999999997,1.099999879501309
-0.1609999999999997,1.099999879249457
-0.1599999999999997,1.099999878996583
-0.1589999999999997,1.099999878742681
-0.1579999999999997,1.09999987848775
-0.1569999999999997,1.099999878231785
-0.1559999999999997,1.099999877974783
-0.1549999999999997,1.099999877716739
-0.1539999999999997,1.099999877457651
-0.1529999999999997,1.099999877197515
-0.1519999999999997,1.099999876936327
-0.1509999999999997,1.099999876674083
-0.1499999999999997,1.099999876410779
-0.1489999999999997,1.099999876146413
-0.1479999999999997,1.099999875880981
-0.1469999999999997,1.099999875614478
-0.1459999999999997,1.099999875346901
-0.1449999999999997,1.099999875078246
-0.1439999999999997,1.099999874808509
-0.1429999999999997,1.099999874537688
-0.1419999999999997,1.099999874265777
-0.1409999999999997,1.099999873992773
-0.1399999999999997,1.099999873718673
-0.1389999999999997,1.099999873443472
-0.1379999999999997,1.099999873167167
-0.1369999999999997,1.099999872889754
-0.1359999999999997,1.099999872611229
-0.1349999999999997,1.099999872331588
-0.1339999999999997,1.099999872050827
-0.1329999999999997,1.099999871768943
-0.1319999999999997,1.099999871485932
-0.1309999999999997,1.099999871201789
-0.1299999999999997,1.099999870916511
-0.1289999999999997,1.099999870630093
-0.1279999999999997,1.099999870342533
-0.1269999999999997,1.099999870053825
-0.1259999999999997,1.099999869763966
-0.1249999999999997,1.099999869472952
-0.1239999999999997,1.099999869180779
-0.1229999999999997,1.099999868887443
-0.1219999999999997,1.09999986859294
-0.1209999999999997,1.099999868297266
-0.1199999999999997,1.099999868000417
-0.1189999999999997,1.099999867702388
-0.1179999999999997,1.099999867403176
-0.1169999999999997,1.099999867102776
-0.1159999999999997,1.099999866801185
-0.1149999999999997,1.099999866498399
-0.1139999999999997,1.099999866194412
-0.1129999999999997,1.099999865889222
-0.1119999999999997,1.099999865582823
-0.1109999999999997,1.099999865275213
-0.1099999999999997,1.099999864966386
-0.1089999999999997,1.099999864656338
-0.1079999999999997,1.099999864345065
-0.1069999999999997,1.099999864032564
-0.1059999999999997,1.099999863718829
-0.1049999999999996,1.099999863403857
-0.1039999999999996,1.099999863087642
-0.1029999999999996,1.099999862770182
-0.1019999999999996,1.099999862451471
-0.1009999999999996,1.099999862131506
-0.09999999999999964,1.099999861810281
-0.09899999999999964,1.099999861487793
-0.09799999999999964,1.099999861164038
-0.09699999999999964,1.09999986083901
-0.09599999999999964,1.099999860512707
-0.09499999999999964,1.099999860185122
-0.09399999999999964,1.099999859856252
-0.09299999999999964,1.099999859526092
-0.09199999999999964,1.099999859194638
-0.09099999999999964,1.099999858861886
-0.08999999999999964,1.099999858527831
-0.08899999999999963,1.099999858192468
-0.08799999999999963,1.099999857855793
-0.08699999999999963,1.099999857517802
-0.08599999999999963,1.09999985717849
-0.08499999999999963,1.099999856837852
-0.08399999999999963,1.099999856495884
-0.08299999999999963,1.099999856152582
-0.08199999999999963,1.09999985580794
-0.08099999999999963,1.099999855461955
-0.07999999999999963,1.099999855114621
-0.07899999999999963,1.099999854765934
-0.07799999999999963,1.099999854415889
-0.07699999999999962,1.099999854064482
-0.07599999999999962,1.099999853711708
-0.07499999999999962,1.099999853357562
-0.07399999999999962,1.09999985300204
-0.07299999999999962,1.099999852645137
-0.07199999999999962,1.099999852286848
-0.07099999999999962,1.099999851927169
-0.06999999999999962,1.099999851566094
